
================================================================================
ANALYSIS SUMMARY
================================================================================

Overall: 693 cases, 90 faster >1%, 276 slower >1%, 327 wash (±1%), avg +0.98%

Per-benchmark averages:
  bench_gemm                  -2.48%  (23/25 faster)   ← clear winner
  bench_gemm_double           +0.20%  (wash)
  bench_gemv                  +1.01%  (mostly regression)
  bench_vecadd                +0.32%  (wash)
  bench_reductions            +0.62%  (mixed)
  bench_fixed_size            +0.98%  (slight regression)
  bench_fixed_size_double     +1.18%  (slight regression)
  bench_trsm                  +2.33%  (worst avg — TRSV especially bad)
  bench_trmv                  +1.75%  (float Upper consistently bad)
  bench_triangular_product    +1.03%  (regression)
  bench_selfadjoint_product   +0.76%  (wash)
  bench_dot                   +1.27%  (noisy, outliers both ways)
  bench_block_ops             +1.74%  (mostly regression)

Notable wins:
  BM_EigenGemm/192/192/192              -8.53%
  BM_EigenGemm/160/160/160              -8.45%
  TRMV_float_Lower/512                  -8.46%
  VectorNorm_double/65536              -14.01%
  VectorMinCoeff_float/4096             -7.59%
  VectorMinCoeff_float/262144           -7.43%
  VectorProd_float/262144               -7.48%
  VectorSum_float/262144                -6.57%

Notable regressions:
  BlockRead_float/512/64               +78.29%  (likely noise/cache artifact)
  VectorLpNormInf_double/1048576       +20.62%
  TRMV_float_UnitUpper/1024            +18.89%
  TRSV_float_Lower/512                 +18.78%
  TRMV_float_Upper/1024                +18.51%
  TRSV_float_Lower/128                 +17.61%
  Dot_double/65536                     +15.78%
  Dot_cfloat/1048576                   +15.76%
  TRMV_double_UnitUpper/2048           +15.63%
  VectorLpNormInf_double/65536         +11.47%
  TRSV_float_Lower/32                  +11.15%
  TRMV_float_UnitUpper/64              +11.20%

Pattern: __builtin_assume helps float GEMM consistently (compiler better exploits
alignment/size hints for the GEBP kernel) but hurts triangular solvers (TRSV/TRMV
Upper) and large-vector reductions significantly. The hints appear to misguide
vectorization decisions for upper-triangular traversal patterns and large strided
reductions where the compiler's default heuristics were better.



benchmark                       case                                                       baseline      assume     delta
------------------------------------------------------------------------------------------------------------------------
bench_gemm                      BM_EigenGemm/1024/1024/1024                              15370160.7  14966207.5    -2.63% ▼
bench_gemm                      BM_EigenGemm/1024/256/256                                  943602.7    933646.5    -1.06% ▼
bench_gemm                      BM_EigenGemm/1024/64/64                                     62870.2     60982.8    -3.00% ▼
bench_gemm                      BM_EigenGemm/128/128/128                                    30253.1     28302.0    -6.45% ▼
bench_gemm                      BM_EigenGemm/1536/1536/1536                              51310418.0  50463862.3    -1.65% ▼
bench_gemm                      BM_EigenGemm/16/16/16                                          98.3        96.0    -2.31% ▼
bench_gemm                      BM_EigenGemm/160/160/160                                    58022.4     53118.2    -8.45% ▼
bench_gemm                      BM_EigenGemm/192/192/192                                    99923.4     91399.8    -8.53% ▼
bench_gemm                      BM_EigenGemm/2048/2048/2048                              121240155.3  119787774.3    -1.20% ▼
bench_gemm                      BM_EigenGemm/224/224/224                                   159143.2    150377.5    -5.51% ▼
bench_gemm                      BM_EigenGemm/256/256/1024                                  944048.7    935531.9    -0.90%  
bench_gemm                      BM_EigenGemm/256/256/256                                   238890.5    233717.3    -2.17% ▼
bench_gemm                      BM_EigenGemm/288/288/288                                   338872.8    332307.9    -1.94% ▼
bench_gemm                      BM_EigenGemm/32/32/32                                         531.5       524.1    -1.38% ▼
bench_gemm                      BM_EigenGemm/320/320/320                                   462592.8    457127.2    -1.18% ▼
bench_gemm                      BM_EigenGemm/384/384/384                                   802774.4    791469.7    -1.41% ▼
bench_gemm                      BM_EigenGemm/4096/4096/4096                              964079853.0  954828771.0    -0.96%  
bench_gemm                      BM_EigenGemm/448/448/448                                  1271951.9   1257827.3    -1.11% ▼
bench_gemm                      BM_EigenGemm/512/512/512                                  1887325.0   1861254.6    -1.38% ▼
bench_gemm                      BM_EigenGemm/64/1024/64                                     60957.3     60337.3    -1.02% ▼
bench_gemm                      BM_EigenGemm/64/64/1024                                     63606.6     62078.3    -2.40% ▼
bench_gemm                      BM_EigenGemm/64/64/64                                        3974.7      3926.0    -1.23% ▼
bench_gemm                      BM_EigenGemm/768/768/768                                  6377113.5   6300491.5    -1.20% ▼
bench_gemm                      BM_EigenGemm/8/8/8                                             48.8        47.9    -1.83% ▼
bench_gemm                      BM_EigenGemm/96/96/96                                       13027.9     12897.1    -1.00% ▼

bench_gemm_double               BM_EigenGemm/1024/1024/1024                              31160952.5  31594124.2    +1.39% ▲
bench_gemm_double               BM_EigenGemm/1024/256/256                                 1917285.4   1931923.3    +0.76%  
bench_gemm_double               BM_EigenGemm/1024/64/64                                    130185.2    133689.8    +2.69% ▲
bench_gemm_double               BM_EigenGemm/128/128/128                                    60833.6     60247.6    -0.96%  
bench_gemm_double               BM_EigenGemm/1536/1536/1536                              104175692.4  104992046.3    +0.78%  
bench_gemm_double               BM_EigenGemm/16/16/16                                         168.4       165.7    -1.61% ▼
bench_gemm_double               BM_EigenGemm/160/160/160                                   117817.1    117629.2    -0.16%  
bench_gemm_double               BM_EigenGemm/192/192/192                                   202454.0    202528.1    +0.04%  
bench_gemm_double               BM_EigenGemm/2048/2048/2048                              246366396.7  246627620.0    +0.11%  
bench_gemm_double               BM_EigenGemm/224/224/224                                   322340.4    324635.7    +0.71%  
bench_gemm_double               BM_EigenGemm/256/256/1024                                 1939623.9   1967729.9    +1.45% ▲
bench_gemm_double               BM_EigenGemm/256/256/256                                   482907.5    483541.8    +0.13%  
bench_gemm_double               BM_EigenGemm/288/288/288                                   680497.1    689752.6    +1.36% ▲
bench_gemm_double               BM_EigenGemm/32/32/32                                        1054.8      1041.7    -1.24% ▼
bench_gemm_double               BM_EigenGemm/320/320/320                                   936305.6    947626.1    +1.21% ▲
bench_gemm_double               BM_EigenGemm/384/384/384                                  1602909.7   1663692.2    +3.79% ▲
bench_gemm_double               BM_EigenGemm/4096/4096/4096                              1955234582.0  1963792216.0    +0.44%  
bench_gemm_double               BM_EigenGemm/448/448/448                                  2543251.8   2594724.6    +2.02% ▲
bench_gemm_double               BM_EigenGemm/512/512/512                                  3835843.0   3955670.0    +3.12% ▲
bench_gemm_double               BM_EigenGemm/64/1024/64                                    125294.6    127319.6    +1.62% ▲
bench_gemm_double               BM_EigenGemm/64/64/1024                                    129812.4    131591.2    +1.37% ▲
bench_gemm_double               BM_EigenGemm/64/64/64                                        8163.1      8128.1    -0.43%  
